Date|Close|High|Low|Open|Volume
2016-04-06|110.96|110.98|109.2|110.23|26404077
2016-04-07|108.54|110.42|108.121|109.95|31801870
2016-04-08|108.66|109.77|108.17|108.91|23581740
2016-04-11|109.02|110.61|108.83|108.97|29407518
2016-04-12|110.44|110.5|108.66|109.34|27232325
2016-04-13|112.04|112.34|110.8|110.8|33257316
2016-04-14|112.1|112.39|111.33|111.62|25473923
2016-04-15|109.85|112.3|109.73|112.11|46938969
2016-04-18|107.48|108.95|106.94|108.89|60821461
2016-04-19|106.91|108.0|106.23|107.88|32384878
2016-04-20|107.13|108.09|106.06|106.64|30611030
2016-04-21|105.97|106.93|105.52|106.93|31552525
2016-04-22|105.68|106.48|104.62|105.01|33683121
2016-04-25|105.08|105.65|104.51|105.0|28031588
2016-04-26|104.35|105.3|103.91|103.91|56016165
2016-04-27|97.82|98.71|95.68|96.0|114602142
2016-04-28|94.83|97.88|94.25|97.61|82242690
2016-04-29|93.74|94.72|92.51|93.99|68531478
2016-05-02|93.64|94.08|92.4|93.965|48160104
2016-05-03|95.18|95.74|93.68|94.2|56831277
2016-05-04|94.19|95.9|93.82|95.2|41025475
2016-05-05|93.24|94.07|92.68|94.0|35890500
2016-05-06|92.72|93.45|91.85|93.37|43699886
2016-05-09|92.79|93.77|92.59|93.0|32936436
2016-05-10|93.42|93.57|92.11|93.33|33686836
2016-05-11|92.51|93.57|92.46|93.48|28719109
2016-05-12|90.34|92.78|89.47|92.72|76314690
2016-05-13|90.52|91.67|90.0|90.0|44392765
2016-05-16|93.88|94.39|91.65|92.39|61259756
2016-05-17|93.49|94.7|93.01|94.55|46916939
2016-05-18|94.56|95.21|93.89|94.16|42062391
2016-05-19|94.2|94.64|93.57|94.64|30442100
2016-05-20|95.22|95.43|94.52|94.64|32025968
2016-05-23|96.43|97.19|95.67|95.87|38018643
2016-05-24|97.9|98.09|96.84|97.22|35140174
2016-05-25|99.62|99.74|98.11|98.67|38642108
2016-05-26|100.41|100.73|98.64|99.68|56331159
2016-05-27|100.35|100.47|99.245|99.44|36341240
2016-05-30|100.35|100.35|100.35|100.35|0
2016-05-31|99.86|100.4|98.82|99.6|42307212
2016-06-01|98.46|99.54|98.33|99.02|29173285
2016-06-02|97.72|97.84|96.63|97.6|40191600
2016-06-03|97.92|98.27|97.45|97.79|28504888
2016-06-06|98.63|101.89|97.55|97.99|23292504
2016-06-07|99.03|99.87|98.96|99.25|22409450
2016-06-08|98.94|99.56|98.68|99.02|20848131
2016-06-09|99.65|99.99|98.46|98.5|26601354
2016-06-10|98.83|99.3457|98.48|98.53|31712936
2016-06-13|97.34|99.12|97.1|98.69|38020494
2016-06-14|97.46|98.475|96.75|97.32|31931944
2016-06-15|97.14|98.41|97.03|97.82|29445227
2016-06-16|97.55|97.75|96.07|96.45|31326815
2016-06-17|95.33|96.65|95.3|96.62|61008219
2016-06-20|95.1|96.57|95.03|96.0|34411901
2016-06-21|95.91|96.35|94.676|94.94|35546358
2016-06-22|95.55|96.89|95.35|96.25|29219122
2016-06-23|96.1|96.29|95.25|95.94|32240187
2016-06-24|93.4|94.655|92.65|92.91|75311356
2016-06-27|92.04|93.05|91.5|93.0|46622188
2016-06-28|93.59|93.66|92.14|92.9|40444914
2016-06-29|94.4|94.55|93.63|93.97|36531006
2016-06-30|95.6|95.77|94.3|94.44|35836356
2016-07-01|95.89|96.465|95.33|95.49|26026540
2016-07-04|95.89|95.89|95.89|95.89|0
2016-07-05|94.99|95.4|94.46|95.39|27705210
2016-07-06|95.53|95.66|94.37|94.6|30949090
2016-07-07|95.94|96.5|95.62|95.7|25139558
2016-07-08|96.68|96.89|96.05|96.49|28912103
2016-07-11|96.98|97.65|96.73|96.75|23794945
2016-07-12|97.42|97.7|97.12|97.17|24167463
2016-07-13|96.87|97.67|96.84|97.41|25892171
2016-07-14|98.79|98.99|97.32|97.39|38918997
2016-07-15|98.78|99.3|98.5|98.92|30136990
2016-07-18|99.83|100.13|98.6|98.7|36493867
2016-07-19|99.87|100.0|99.34|99.56|23779924
2016-07-20|99.96|100.46|99.735|100.0|26275968
2016-07-21|99.43|101.0|99.13|99.83|32702028
2016-07-22|98.66|99.3|98.31|99.26|28313669
2016-07-25|97.34|98.84|96.92|98.25|40382921
2016-07-26|96.67|97.97|96.42|96.82|56239822
2016-07-27|102.95|104.35|102.75|104.265|92344820
2016-07-28|104.34|104.45|102.82|102.83|39869839
2016-07-29|104.21|104.55|103.68|104.19|27733688
2016-08-01|106.05|106.15|104.41|104.41|38167871
2016-08-02|104.48|106.07|104.0|106.05|33816556
2016-08-03|105.79|105.84|104.77|104.81|30202641
2016-08-04|105.87|106.0|105.28|105.58|27408650
2016-08-05|107.48|107.65|106.18|106.27|40553402
2016-08-08|108.37|108.37|107.16|107.52|28037220
2016-08-09|108.81|108.94|108.01|108.23|26315204
2016-08-10|108.0|108.9|107.76|108.71|24008505
2016-08-11|107.93|108.93|107.85|108.52|27484506
2016-08-12|108.18|108.44|107.78|107.78|18660434
2016-08-15|109.48|109.54|108.08|108.14|25868209
2016-08-16|109.38|110.23|109.21|109.63|33794448
2016-08-17|109.22|109.37|108.34|109.1|25355976
2016-08-18|109.08|109.6|109.02|109.23|21984703
2016-08-19|109.36|109.69|108.36|108.77|25368072
2016-08-22|108.51|109.1|107.85|108.86|25820230
2016-08-23|108.85|109.32|108.53|108.59|21257669
2016-08-24|108.03|108.75|107.68|108.565|23675081
2016-08-25|107.57|107.88|106.68|107.39|25086248
2016-08-26|106.94|107.95|106.31|107.41|27766291
2016-08-29|106.82|107.44|106.29|106.62|24970300
2016-08-30|106.0|106.5|105.5|105.8|24863945
2016-08-31|106.1|106.5699|105.64|105.66|29656620
2016-09-01|106.73|106.8|105.62|106.14|26701523
2016-09-02|107.73|108.0|106.82|107.7|26802450
2016-09-05|107.73|107.73|107.73|107.73|0
2016-09-06|107.7|108.3|107.51|107.9|26880391
2016-09-07|108.36|108.76|107.07|107.83|42364328
2016-09-08|105.52|107.27|105.24|107.25|53002026
2016-09-09|103.13|105.72|103.13|104.64|46556984
2016-09-12|105.44|105.72|102.53|102.65|45292770
2016-09-13|107.95|108.79|107.24|107.51|62176190
2016-09-14|111.77|113.03|108.6|108.73|112340318
2016-09-15|115.57|115.73|113.49|113.86|90613177
2016-09-16|114.92|116.13|114.04|115.12|79886911
2016-09-19|113.58|116.18|113.25|115.19|47023046
2016-09-20|113.57|114.12|112.51|113.05|34514269
2016-09-21|113.55|113.989|112.441|113.85|36003185
2016-09-22|114.62|114.94|114.0|114.35|31073984
2016-09-23|112.71|114.79|111.55|114.42|52481151
2016-09-26|112.88|113.39|111.55|111.64|29869442
2016-09-27|113.09|113.18|112.34|113.0|24607412
2016-09-28|113.95|114.64|113.43|113.69|29641085
2016-09-29|112.18|113.8|111.8|113.16|35886990
2016-09-30|113.05|113.37|111.8|112.46|36379106
2016-10-03|112.52|113.05|112.28|112.71|21701760
2016-10-04|113.0|114.31|112.63|113.06|29736835
2016-10-05|113.05|113.66|112.69|113.4|21453089
2016-10-06|113.89|114.34|113.13|113.7|28779313
2016-10-07|114.06|114.56|113.51|114.31|24358443
2016-10-10|116.05|116.75|114.72|115.02|36235956
2016-10-11|116.3|118.69|116.2|117.7|64041043
2016-10-12|117.34|117.98|116.75|117.35|37586787
2016-10-13|116.98|117.44|115.72|116.79|35192406
2016-10-14|117.63|118.17|117.13|117.88|35652191
2016-10-17|117.55|117.84|116.78|117.33|23624896
2016-10-18|117.47|118.21|117.45|118.18|24553478
2016-10-19|117.12|117.76|113.8|117.25|20034594
2016-10-20|117.06|117.38|116.33|116.86|24125801
2016-10-21|116.6|116.91|116.28|116.81|23192665
2016-10-24|117.65|117.74|117.0|117.1|23538673
2016-10-25|118.25|118.36|117.31|117.95|48128970
2016-10-26|115.59|115.7|113.31|114.31|66134219
2016-10-27|114.48|115.86|114.1|115.39|34562045
2016-10-28|113.72|115.21|113.45|113.87|37861662
2016-10-31|113.54|114.23|113.2|113.65|26419398
2016-11-01|111.49|113.77|110.53|113.46|43825812
2016-11-02|111.59|112.35|111.23|111.4|28331709
2016-11-03|109.83|111.46|109.55|110.98|26932602
2016-11-04|108.84|110.25|108.11|108.53|30836997
2016-11-07|110.41|110.51|109.46|110.08|32560000
2016-11-08|111.06|111.72|109.7|110.31|24254179
2016-11-09|110.88|111.32|108.05|109.88|59176361
2016-11-10|107.79|111.09|105.83|111.09|57134541
2016-11-11|108.43|108.87|106.55|107.12|34143898
2016-11-14|105.71|107.809|104.08|107.71|51175504
2016-11-15|107.11|107.68|106.1593|106.57|32264510
2016-11-16|109.99|110.23|106.6|106.7|58840522
2016-11-17|109.95|110.35|108.83|109.81|27632003
2016-11-18|110.06|110.54|109.66|109.72|28428917
2016-11-21|111.73|111.99|110.01|110.12|29264571
2016-11-22|111.8|112.42|111.4|111.95|25965534
2016-11-23|111.23|111.51|110.33|111.36|27426394
2016-11-24|111.23|111.23|111.23|111.23|0
2016-11-25|111.79|111.87|110.95|111.13|11475922
2016-11-28|111.57|112.465|111.39|111.43|27193983
2016-11-29|111.46|112.03|110.07|110.78|28528750
2016-11-30|110.52|112.2|110.27|111.6|36162258
2016-12-01|109.49|110.94|109.03|110.365|37086862
2016-12-02|109.9|110.09|108.85|109.17|26527997
2016-12-05|109.11|110.03|108.25|110.0|34324540
2016-12-06|109.95|110.36|109.19|109.5|26195462
2016-12-07|111.03|111.19|109.16|109.26|29998719
2016-12-08|112.12|112.43|110.6|110.86|27068316
2016-12-09|113.95|114.7|112.31|112.31|34402627
2016-12-12|113.3|115.0|112.49|113.29|26374377
2016-12-13|115.19|115.92|113.75|113.84|43733811
2016-12-14|115.19|116.2|114.98|115.04|34031834
2016-12-15|115.82|116.73|115.23|115.38|46524544
2016-12-16|115.97|116.5|115.645|116.47|44351134
2016-12-19|116.64|117.38|115.75|115.8|27779423
2016-12-20|116.95|117.5|116.68|116.74|21424965
2016-12-21|117.06|117.4|116.78|116.8|23724084
2016-12-22|116.29|116.51|115.64|116.35|26085854
2016-12-23|116.52|116.52|115.59|115.59|14249484
2016-12-26|116.52|116.52|116.52|116.52|0
2016-12-27|117.26|117.8|116.49|116.52|18296855
2016-12-28|116.76|118.0166|116.2|117.52|20905892
2016-12-29|116.73|117.1095|116.4|116.45|15039519
2016-12-30|115.82|117.2|115.43|116.65|30586265
